,name,cost,address,org_name
0,Цитрамон П табл. №10 (Обновление ПФК ЗАО),"75,00",Красноярск Ленинский Крас. раб.  66,Аптека «Нейрон»
1,Цитрамон П Реневал табл. №10 (Обновление ПФК АО),"85,00",Красноярск Ленинский Крас. раб.  66,Аптека «Нейрон»
2,Цитрамон П Реневал табл. №20 (Обновление ПФК ЗАО),"130,00",Красноярск Ленинский Крас. раб.  66,Аптека «Нейрон»
3,Цитрамон П табл. №10 (Фармстандарт-Лексредства ОАО),"27,00",Красноярск Кировский Крас. раб. 100,Аптека «Нейрон»
4,Цитрамон П Реневал табл. №20 (Обновление ПФК ЗАО),"138,00",Красноярск Кировский Крас. раб. 100,Аптека «Нейрон»
5,Цитрамон П табл. №10 (Фармстандарт-Лексредства ОАО),"29,00",Красноярск Октябрьский Тотмина 3,Аптека «Нейрон »
6,Цитрамон П табл. №20 (Дальхимфарм ОАО),"59,00",Красноярск Октябрьский Тотмина 3,Аптека «Нейрон »
7,Цитрамон Экстракап капс. №10 (Фармстандарт-Лексредства ОАО),"93,00",Красноярск Октябрьский Тотмина 3,Аптека «Нейрон »
8,Цитрамон П Реневал табл. №20 (Обновление ПФК ЗАО),"129,00",Красноярск Октябрьский Тотмина 3,Аптека «Нейрон »
9,Цитрамон П табл. №20 (Медисорб (Пермь)),"55,00",Красноярск Октябрьский Академика Киренского 58,Аптека «ФармАльянс»
10,Цитрамон П табл. №20 (Дальхимфарм),"55,00",Красноярск Октябрьский Академика Киренского 58,Аптека «ФармАльянс»
11,Цитрамон П табл. №10 (Уралбиофарм ОАО),"30,00",Красноярск Свердловский 60 лет Октября 43,Аптека «Аптека СуперФарма»
12,Цитрамон П табл. №20 (Тюменский химфармзавод),"50,00",Красноярск Свердловский 60 лет Октября 43,Аптека «Аптека СуперФарма»
13,Цитрамон П табл. №20 (Уралбиофарм ОАО),"50,00",Красноярск Свердловский 60 лет Октября 43,Аптека «Аптека СуперФарма»
14,АкваЦитрамон гранулы дпригот р-р дпр внутрь 3г №5 (Тульская ФФ),"180,00",Красноярск Свердловский 60 лет Октября 43,Аптека «Аптека СуперФарма»
15,Цитрамон П табл. №20 (Уралбиофарм ОАО),"50,00",Красноярск Свердловский Судостроительная 93,Аптека «Аптека СуперФарма»
16,Цитрамон П табл. №20 (Дальхимфарм ОАО),"60,00",Красноярск Свердловский Крас. раб. 176м 2,Аптека «Аптека СуперФарма»
17,Цитрамон П табл. №10 (Ирбитский ХФЗ),"20,00",Красноярск Советский 60 лет СССР 7б,Аптека «Фарм профи»
18,Цитрамон П табл. №20 (Уралбиофарм ОАО),"58,00",Красноярск Советский 60 лет СССР 7б,Аптека «Фарм профи»
19,Цитрамон П таб №10 (Фармстандарт),"25,00",Красноярск Кировский Щорса 66,Аптека «СтройМедтекс»
20,Цитрамон П таб №20 (Авексима Сибирь ООО),"53,00",Красноярск Кировский Щорса 66,Аптека «СтройМедтекс»
21,Цитрамон П Форте таб №10 (Озон),"80,00",Красноярск Кировский Щорса 66,Аптека «СтройМедтекс»
22,Цитрамон П таб №20 Озон (Озон Фарм),"105,00",Красноярск Кировский Щорса 66,Аптека «СтройМедтекс»
23,Цитрамон П таб №20 Реневал (Обновление АО ПФК),"112,00",Красноярск Кировский Щорса 66,Аптека «СтройМедтекс»
24,Цитрамон П табл. №10 (Фармстандарт-Лексредства ОАО),"22,00",Красноярск Советский Молокова 17,Аптека «Кырдал»
25,Цитрамон П табл. №20 (Дальхимфарм ОАО),"30,00",Красноярск Советский Молокова 17,Аптека «Кырдал»
26,Цитрамон П табл. №20 (Уралбиофарм ОАО),"30,00",Красноярск Советский Молокова 17,Аптека «Кырдал»
27,Цитрамон П таб №20 (Медисорб (Пермь)),"45,00",Красноярск Ленинский Борисевича 20,Аптека «Сибирская аптека»
28,Цитрамон П табл. №20 (Медисорб ЗАО),"27,00",Красноярск Советский Славы 9/1,Аптека «Кырдал»
29,Цитрамон П таб. №20 (Фармстандарт-Лексредства ОАО),"65,00",Красноярск Свердловский Матросова 11,Аптека «Аптека Эвалар»
30,АкваЦитрамон гран. дпр. р-ра вн. пак. №5 (Тульская фарм.фабрика ООО),"170,00",Красноярск Свердловский Матросова 11,Аптека «Аптека Эвалар»
31,Цитрамон П Медисорб №20 табл. (Медисорб АО),"35,00",Красноярск Советский Батурина 15,Аптека «ВалерьянКа»
32,Цитрамон П табл. №20 (Тюменский химфармзавод ОАО),"33,25",Красноярск Советский 9 Мая 69,Аптека «Кырдал»
33,Цитрамон П табл. №20 (Медисорб ЗАО),"33,25",Красноярск Советский 9 Мая 69,Аптека «Кырдал»
34,Цитрамон П табл. №20 (Дальхимфарм ОАО),"33,25",Красноярск Советский 9 Мая 69,Аптека «Кырдал»
35,Цитрамон П табл. №10 (Обновление ПФК ЗАО),"68,40",Красноярск Советский 9 Мая 69,Аптека «Кырдал»
36,Цитрамон П Реневал табл. №20 (Обновление ПФК ЗАО),"120,00",Красноярск Ленинский Крас. раб.  82,Аптека «Нейрон»
37,Цитрамон П табл. №10 (Фармстандарт-Лексредства ОАО),"29,00",Красноярск Советский Партизана Железняка 5,Аптека «Нейрон»
38,Цитрамон П Реневал табл. №20 (Обновление ПФК ЗАО),"135,00",Красноярск Советский Партизана Железняка 5,Аптека «Нейрон»
39,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"19,00",Красноярск Свердловский Крас раб 129,Аптека «Дешевая аптека»
40,ЦИТРАМОН П №10 ТАБ. RENEWAL,"52,00",Красноярск Свердловский Крас раб 129,Аптека «Дешевая аптека»
41,ЦИТРАМОН П АВЕКСИМА №20 ТАБ.,"74,00",Красноярск Свердловский Крас раб 129,Аптека «Дешевая аптека»
42,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"74,00",Красноярск Свердловский Крас раб 129,Аптека «Дешевая аптека»
43,ЦИТРАМОН П №20 ТАБ. ОЗОН,"106,00",Красноярск Свердловский Крас раб 129,Аптека «Дешевая аптека»
44,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"126,00",Красноярск Свердловский Крас раб 129,Аптека «Дешевая аптека»
45,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"44,00",Красноярск Железнодорожный Красная площадь 3а,Аптека «Аптека Эвалар»
46,ЦИТРАМОН П №10 ТАБ. RENEWAL,"123,00",Красноярск Железнодорожный Красная площадь 3а,Аптека «Аптека Эвалар»
47,ЦИТРАМОН П №20 ТАБ. ОЗОН,"142,00",Красноярск Железнодорожный Красная площадь 3а,Аптека «Аптека Эвалар»
48,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"151,00",Красноярск Железнодорожный Красная площадь 3а,Аптека «Аптека Эвалар»
49,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"152,00",Красноярск Железнодорожный Красная площадь 3а,Аптека «Аптека Эвалар»
50,ЦИТРАМОН П N20 таб. Фармстандарт-Лексредства,"66,00",Красноярск Центральный Мира 60,Аптека «Аптека ИП Мут ЕА»
51,ЦИТРАМОН П РЕНЕВАЛ N20 таб. Обновление реневал пфк АО,"117,00",Красноярск Центральный Мира 60,Аптека «Аптека ИП Мут ЕА»
